sim_step,Δ,δ,c,per_infected,βd,βₑ,βᵢ,γₑ,γₐ,avg_he_size,avg_degree,avg_direct_contacts,new_users,moved_users,perc_infected_users,perc_infected_locations
1,4,60000 milliseconds,5,20,0.0,0.06,0.1,0.1,0.06,0.02811888236340986,0.29313543599257885,Inf,114,58,0.1836734693877551,0.0
2,4,60000 milliseconds,5,20,0.0,0.06,0.1,0.1,0.06,0.02794091475351486,0.2912801484230056,64.5,15,30,0.18181818181818182,0.0001779676098949991
3,4,60000 milliseconds,5,20,0.0,0.06,0.1,0.1,0.06,0.02402562733582488,0.2504638218923933,65.5,2,4,0.18181818181818182,0.0
4,4,60000 milliseconds,5,20,0.0,0.06,0.1,0.1,0.06,0.02811888236340986,0.29313543599257885,73.5,16,12,0.17996289424860853,0.0
5,4,60000 milliseconds,5,20,0.0,0.06,0.1,0.1,0.06,0.03897490656700481,0.40630797773654914,85.5,24,50,0.17810760667903525,0.0
6,4,60000 milliseconds,5,20,0.0,0.06,0.1,0.1,0.06,0.04591564335290977,0.47866419294990725,34.166666666666664,34,55,0.1725417439703154,0.0001779676098949991
7,4,60000 milliseconds,5,20,0.0,0.06,0.1,0.1,0.06,0.06531411283146467,0.6808905380333952,29.5,31,141,0.17068645640074212,0.0001779676098949991
8,4,60000 milliseconds,5,20,0.0,0.06,0.1,0.1,0.06,0.05018686599038975,0.5231910946196661,Inf,14,34,0.16512059369202226,0.0001779676098949991
9,4,60000 milliseconds,5,20,0.0,0.06,0.1,0.1,0.06,0.044847837693539776,0.4675324675324675,Inf,0,2,0.16326530612244897,0.0001779676098949991
10,4,60000 milliseconds,5,20,0.0,0.06,0.1,0.1,0.06,0.048585157501334755,0.5064935064935064,Inf,1,23,0.1614100185528757,0.0001779676098949991
11,4,60000 milliseconds,5,20,0.0,0.06,0.1,0.1,0.06,0.05410215340807973,0.5640074211502782,Inf,5,53,0.15769944341372913,0.0003559352197899982
12,4,60000 milliseconds,5,20,0.0,0.06,0.1,0.1,0.06,0.06371240434240968,0.6641929499072357,34.125,17,96,0.15213358070500926,0.0003559352197899982
13,4,60000 milliseconds,5,20,0.0,0.06,0.1,0.1,0.06,0.08186510055169958,0.8534322820037106,24.583333333333332,22,170,0.14471243042671614,0.0005339028296849973
14,4,60000 milliseconds,5,20,0.0,0.06,0.1,0.1,0.06,0.07083110873820965,0.738404452690167,50.666666666666664,9,101,0.14656771799628943,0.0007118704395799964
15,4,60000 milliseconds,5,20,0.0,0.06,0.1,0.1,0.06,0.05588182950702972,0.5825602968460112,76.25,1,10,0.14656771799628943,0.0007118704395799964
16,4,60000 milliseconds,5,20,0.0,0.06,0.1,0.1,0.06,0.059619149314824704,0.62152133580705,51.333333333333336,3,29,0.14285714285714285,0.0007118704395799964
17,4,60000 milliseconds,5,20,0.0,0.06,0.1,0.1,0.06,0.07172094678768465,0.7476808905380334,38.625,1,100,0.14100185528756956,0.0005339028296849973
18,4,60000 milliseconds,5,20,0.0,0.06,0.1,0.1,0.06,0.0786616835735896,0.8200371057513914,53.333333333333336,11,133,0.1391465677179963,0.0007118704395799964
19,4,60000 milliseconds,5,20,0.0,0.06,0.1,0.1,0.06,0.08560242035949457,0.8923933209647495,Inf,9,166,0.13358070500927643,0.0005339028296849973
20,4,60000 milliseconds,5,20,0.0,0.06,0.1,0.1,0.06,0.07189891439757964,0.7495361781076066,166.0,3,82,0.13358070500927643,0.0005339028296849973
21,4,60000 milliseconds,5,20,0.0,0.06,0.1,0.1,0.06,0.06104289019398469,0.6363636363636364,166.0,0,18,0.12987012987012986,0.0007118704395799964
